Word                                         Length
===================================================
importantunimportantunimportantimportant     40
meanstomakeanythingprettier                  27
adventuresbeginning                          19
arithmeticambition                           18
thingseverything                             16
waistcoatpocket                              15
seeneverything                               14
particularhere                               14
multiplication                               14
drawlingmaster                               14
disappointment                               14
cucumberframes                               14
contemptuously                               14
breadandbutter                               14
backsomersault                               14
affectionately                               14
uncomfortably                                13
uncomfortable                                13
treaclewelleh                                13
sweettempered                                13
straightening                                13
rabbitholeand                                13
inquisitively                                13
goodnaturedly                                13
farmyardwhile                                13
extraordinary                                13
executiononce                                13
cucumberframe                                13
croquetground                                13
conversations                                13
circumstances                                13
writingdesks                                 12
withoutmaybe                                 12
washingextra                                 12
uglification                                 12
triumphantly                                 12
thunderstorm                                 12
thoughtfully                                 12
straightened                                 12
refreshments                                 12
questionshow                                 12
queerlooking                                 12
occasionally                                 12
nevertheless                                 12
neighbouring                                 12
lookingglass                                 12
jackinthebox                                 12
interrupting                                 12
hippopotamus                                 12
frontispiece                                 12
firstverdict                                 12
explanations                                 12
executioners                                 12
educationsin                                 12
difficulties                                 12
crossexamine                                 12
conversation                                 12
contradicted                                 12
contemptuous                                 12
consultation                                 12
chrysalisyou                                 12
caterpillars                                 12
bitterandand                                 12
accidentally                                 12
writingdesk                                  11
unwillingly                                  11
unimportant                                  11
unfortunate                                  11
treaclewell                                  11
threelegged                                  11
steamengine                                  11
slatepencil                                  11
sistersthey                                  11
simplynever                                  11
shinglewill                                  11
shakespeare                                  11
respectable                                  11
remembering                                  11
queershaped                                  11
quarrelling                                  11
processions                                  11
outoftheway                                  11
opportunity                                  11
ointmentone                                  11
northumbria                                  11
neverending                                  11
mustardmine                                  11
muchnessyou                                  11
muchnessdid                                  11
lowspirited                                  11
lessonbooks                                  11
interrupted                                  11
interesting                                  11
indignantly                                  11
incessantly                                  11
impertinent                                  11
impatiently                                  11
immediately                                  11
hottempered                                  11
handwriting                                  11
goodnatured                                  11
frogfootman                                  11
fortunately                                  11
fishfootman                                  11
explanation                                  11
executioner                                  11
exclamation                                  11
everythings                                  11
encouraging                                  11
drawlingthe                                  11
distraction                                  11
distancebut                                  11
disappeared                                  11
desperately                                  11
considering                                  11
complaining                                  11
comfortably                                  11
comfortable                                  11
caterpillar                                  11
bookshelves                                  11
beautifully                                  11
beauootiful                                  11
barleysugar                                  11
antipathies                                  11
alternately                                  11
againbefore                                  11
wonderland                                   10
voiceshold                                   10
variations                                   10
usurpation                                   10
unpleasant                                   10
understood                                   10
understand                                   10
underneath                                   10
uncommonly                                   10
twentyfour                                   10
tuliproots                                   10
thoroughly                                   10
thenalways                                   10
themselves                                   10
telescopes                                   10
swallowing                                   10
suppressed                                   10
stretching                                   10
spokefancy                                   10
splendidly                                   10
spectacles                                   10
somersault                                   10
snappishly                                   10
sheepbells                                   10
seaography                                   10
scratching                                   10
scrambling                                   10
schoolroom                                   10
ridiculous                                   10
respectful                                   10
remembered                                   10
remarkable                                   10
recognised                                   10
reasonable                                   10
realitythe                                   10
racecourse                                   10
rabbitspat                                   10
rabbithole                                   10
quarrelled                                   10
protection                                   10
pronounced                                   10
procession                                   10
pretending                                   10
positively                                   10
pleasanter                                   10
pennyworth                                   10
passionate                                   10
particular                                   10
ornamented                                   10
occasional                                   10
newspapers                                   10
mousetraps                                   10
mournfully                                   10
memorandum                                   10
melancholy                                   10
lessonbook                                   10
invitation                                   10
introduced                                   10
impossible                                   10
headbrandy                                   10
guineapigs                                   10
glovesthat                                   10
frightened                                   10
fourteenth                                   10
forgetting                                   10
flowerbeds                                   10
flamingoes                                   10
familiarly                                   10
fairytales                                   10
expression                                   10
expressing                                   10
experiment                                   10
executions                                   10
everything                                   10
encouraged                                   10
dreadfully                                   10
doubtfully                                   10
directions                                   10
diligently                                   10
difficulty                                   10
delightful                                   10
daisychain                                   10
curtseying                                   10
croqueting                                   10
considered                                   10
conclusion                                   10
completely                                   10
complained                                   10
chimneynay                                   10
cherrytart                                   10
cheerfully                                   10
cautiously                                   10
caucusrace                                   10
cartwheels                                   10
canterbury                                   10
brighteyed                                   10
brightened                                   10
breadknife                                   10
archbishop                                   10
appearance                                   10
altogether                                   10
alongcatch                                   10
afterwards                                   10
adventures                                   10
addressing                                   10
accustomed                                   10
accusation                                   10
accounting                                   10
acceptance                                   10
yesterday                                    9
wriggling                                    9
wondering                                    9
wonderful                                    9
whistling                                    9
whispered                                    9
whereupon                                    9
waterwell                                    9
wandering                                    9
violently                                    9
vegetable                                    9
vanishing                                    9
upsetting                                    9
unusually                                    9
unlocking                                    9
undertone                                    9
uglifying                                    9
twinkling                                    9
twentieth                                    9
trickling                                    9
tremulous                                    9
trembling                                    9
theyyouve                                    9
therefore                                    9
thenbills                                    9
telescope                                    9
teathings                                    9
swallowed                                    9
surprised                                    9
succeeded                                    9
submitted                                    9
stupidest                                    9
stretched                                    9
stockings                                    9
squeaking                                    9
spreading                                    9
sprawling                                    9
splashing                                    9
sorrowful                                    9
somewhere                                    9
sometimes                                    9
something                                    9
slightest                                    9
skyrocket                                    9
sixteenth                                    9
simpleton                                    9
signifies                                    9
shrinking                                    9
shoulders                                    9
shillings                                    9
seriously                                    9
sentenced                                    9
sensation                                    9
screaming                                    9
saucepans                                    9
righthand                                    9
returning                                    9
repeating                                    9
reminding                                    9
remarking                                    9
remaining                                    9
recovered                                    9
questions                                    9
quadrille                                    9
provoking                                    9
prosecute                                    9
promising                                    9
producing                                    9
prisoners                                    9
presently                                    9
presented                                    9
presentat                                    9
placesall                                    9
pineapple                                    9
persisted                                    9
permitted                                    9
perfectly                                    9
pepperbox                                    9
pattering                                    9
patriotic                                    9
patiently                                    9
parchment                                    9
